Date,MNO.L,WSBN.L,CGNR.L,THR.L,SJH.L,EVE.L,VAL.L,ALBA.L
2020-04-03,1.75,1.125,6.5,0.16500000655651093,21.0,1.0499999523162842,4.75,0.054999999701976776
2020-04-06,1.75,1.125,6.25,0.16500000655651093,21.0,1.0499999523162842,3.75,0.054999999701976776
2020-04-07,1.75,1.149999976158142,6.599999904632568,0.1850000023841858,22.5,1.0499999523162842,3.625,0.054999999701976776
2020-04-08,1.75,1.149999976158142,6.599999904632568,0.20999999344348907,32.5,1.399999976158142,3.625,0.054999999701976776
2020-04-09,1.75,1.149999976158142,6.75,0.20999999344348907,32.5,1.4249999523162842,3.0999999046325684,0.054999999701976776
2020-04-14,1.75,1.350000023841858,7.650000095367432,0.20999999344348907,32.5,1.6749999523162842,3.75,0.05999999865889549
2020-04-15,1.75,1.4249999523162842,7.75,0.20999999344348907,32.5,1.475000023841858,3.75,0.05999999865889549
2020-04-16,1.75,1.4500000476837158,7.75,0.23499999940395355,32.5,1.4500000476837158,4.550000190734863,0.05999999865889549
2020-04-17,1.75,1.4500000476837158,7.75,0.25,30.0,1.5,4.25,0.05999999865889549
2020-04-20,2.200000047683716,1.4500000476837158,7.5,0.27000001072883606,28.5,1.3250000476837158,3.875,0.07000000029802322
2020-04-21,2.25,1.4500000476837158,8.25,0.27000001072883606,27.5,1.25,4.0,0.07500000298023224
2020-04-22,2.25,1.4500000476837158,9.5,0.27000001072883606,27.5,1.225000023841858,3.875,0.06499999761581421
2020-04-23,2.25,1.4500000476837158,8.75,0.27000001072883606,27.5,1.2000000476837158,4.0,0.07000000029802322
2020-04-24,2.1500000953674316,1.4500000476837158,9.0,0.2849999964237213,27.5,1.350000023841858,4.0,0.07000000029802322
2020-04-27,1.899999976158142,1.4500000476837158,8.75,0.36500000953674316,27.5,1.2999999523162842,5.875,0.07500000298023224
2020-04-28,1.899999976158142,1.4500000476837158,9.800000190734863,0.3700000047683716,27.5,1.0499999523162842,6.0,0.08500000089406967
2020-04-29,1.899999976158142,1.4500000476837158,9.600000381469727,0.33500000834465027,27.5,1.149999976158142,7.25,0.07999999821186066
2020-04-30,1.899999976158142,1.4500000476837158,11.25,0.32499998807907104,27.5,1.274999976158142,13.125,0.07999999821186066
2020-05-01,1.899999976158142,1.4500000476837158,11.25,0.25999999046325684,22.5,1.350000023841858,10.25,0.07000000029802322
2020-05-04,1.899999976158142,1.4500000476837158,9.75,0.3149999976158142,20.0,1.399999976158142,11.5,0.07000000029802322
2020-05-05,1.899999976158142,1.4500000476837158,10.0,0.3149999976158142,22.5,1.350000023841858,11.0,0.07000000029802322
2020-05-06,1.899999976158142,1.4500000476837158,10.0,0.3199999928474426,22.5,1.399999976158142,10.75,0.07000000029802322
2020-05-07,1.899999976158142,1.4500000476837158,10.75,0.3100000023841858,22.5,1.3250000476837158,8.75,0.07000000029802322
2020-05-11,1.899999976158142,1.4500000476837158,12.0,0.32499998807907104,22.5,1.25,9.75,0.07000000029802322
2020-05-12,1.899999976158142,1.4500000476837158,11.850000381469727,0.32499998807907104,22.5,1.225000023841858,9.75,0.05999999865889549
2020-05-13,1.899999976158142,1.4500000476837158,11.25,0.3050000071525574,22.5,1.225000023841858,8.75,0.05999999865889549
2020-05-14,1.899999976158142,1.4500000476837158,10.75,0.3050000071525574,17.5,1.149999976158142,9.25,0.05999999865889549
2020-05-15,1.899999976158142,1.4500000476837158,10.550000190734863,0.3050000071525574,17.5,1.149999976158142,9.25,0.07000000029802322
2020-05-18,1.899999976158142,1.4500000476837158,11.699999809265137,0.3050000071525574,17.5,1.274999976158142,9.5,0.07800000160932541
2020-05-19,1.899999976158142,1.4500000476837158,11.449999809265137,0.3050000071525574,17.5,1.3250000476837158,9.5,0.07999999821186066
2020-05-20,1.899999976158142,1.4500000476837158,11.449999809265137,0.32499998807907104,17.5,1.350000023841858,9.0,0.0729999989271164
2020-05-21,1.899999976158142,1.4500000476837158,11.449999809265137,0.32499998807907104,17.5,1.350000023841858,8.75,0.07500000298023224
2020-05-22,1.899999976158142,1.4500000476837158,11.5,0.3149999976158142,17.5,1.3600000143051147,7.5,0.07800000160932541
2020-05-26,1.7999999523162842,1.4500000476837158,11.25,0.32499998807907104,17.5,1.309999942779541,7.75,0.07500000298023224
2020-05-27,1.7999999523162842,1.4500000476837158,11.25,0.32499998807907104,17.5,1.350000023841858,7.75,0.07500000298023224
2020-05-28,1.7999999523162842,1.4500000476837158,11.25,0.32499998807907104,17.5,1.350000023841858,7.625,0.07500000298023224
2020-05-29,1.7999999523162842,1.4500000476837158,11.0,0.32499998807907104,15.5,1.4249999523162842,6.75,0.07500000298023224
2020-06-01,1.7999999523162842,1.4500000476837158,11.0,0.4399999976158142,15.5,1.4500000476837158,6.625,0.07800000160932541
2020-06-02,1.7999999523162842,1.4500000476837158,11.0,0.375,15.5,1.350000023841858,8.25,0.08299999684095383
2020-06-03,1.7999999523162842,1.3250000476837158,11.0,0.44999998807907104,15.5,1.25,7.375,0.07800000160932541
2020-06-04,1.7999999523162842,1.225000023841858,11.0,0.42500001192092896,15.5,1.25,7.375,0.07800000160932541
2020-06-05,2.049999952316284,1.225000023841858,11.0,0.4050000011920929,15.5,1.2999999523162842,7.125,0.08299999684095383
2020-06-08,2.049999952316284,1.225000023841858,11.0,0.375,15.5,1.2999999523162842,7.125,0.08299999684095383
2020-06-09,2.049999952316284,1.225000023841858,10.949999809265137,0.3700000047683716,15.5,1.315000057220459,6.650000095367432,0.08299999684095383
2020-06-10,2.049999952316284,1.225000023841858,10.949999809265137,0.3700000047683716,15.0,1.399999976158142,7.25,0.07999999821186066
2020-06-11,2.0,1.225000023841858,10.75,0.36000001430511475,15.0,1.25,7.25,0.07999999821186066
2020-06-12,2.0,1.225000023841858,10.75,0.35499998927116394,15.0,1.25,7.25,0.07999999821186066
2020-06-15,2.0,1.225000023841858,10.0,0.35499998927116394,15.0,1.225000023841858,7.25,0.08500000089406967
2020-06-16,2.0,1.225000023841858,9.75,0.3700000047683716,15.0,1.25,7.25,0.08799999952316284
2020-06-17,2.5999999046325684,1.2999999523162842,9.75,0.3700000047683716,15.0,1.25,7.25,0.08799999952316284
2020-06-18,2.3499999046325684,1.2999999523162842,9.75,0.36500000953674316,15.0,1.125,6.974999904632568,0.08799999952316284
